iter,compliance,vol_frac,rho_mean,rho_min,rho_max
1,1.02276947e-03,0.500000,0.500000,0.001000,1.000000
2,1.02331491e-03,0.500000,0.500000,0.001000,1.000000
3,1.02390240e-03,0.500000,0.500000,0.001000,1.000000
4,1.02435865e-03,0.500000,0.500000,0.001000,1.000000
5,1.02445513e-03,0.500000,0.500000,0.001000,1.000000
6,1.02437732e-03,0.500000,0.500000,0.001000,1.000000
7,1.02420456e-03,0.500000,0.500000,0.001000,1.000000
8,1.02383789e-03,0.500000,0.500000,0.001000,1.000000
9,1.02324673e-03,0.500000,0.500000,0.001000,1.000000
10,1.02257819e-03,0.500000,0.500000,0.001000,1.000000
11,1.02242158e-03,0.500000,0.500000,0.001000,1.000000
12,1.02310489e-03,0.500000,0.500000,0.001000,1.000000
13,1.02417678e-03,0.500000,0.500000,0.001000,1.000000
14,1.02504948e-03,0.500000,0.500000,0.001000,1.000000
15,1.02566382e-03,0.500000,0.500000,0.001000,1.000000
16,1.02592672e-03,0.500000,0.500000,0.001000,1.000000
17,1.02597610e-03,0.500000,0.500000,0.001000,1.000000
18,1.02596185e-03,0.500000,0.500000,0.001000,1.000000
19,1.02572486e-03,0.500000,0.500000,0.001000,1.000000
20,1.02539354e-03,0.500000,0.500000,0.001000,1.000000
21,1.02537654e-03,0.500000,0.500000,0.001000,1.000000
22,1.02556982e-03,0.500000,0.500000,0.001000,1.000000
23,1.02615885e-03,0.500000,0.500000,0.001000,1.000000
24,1.02666056e-03,0.500000,0.500000,0.001000,1.000000
25,1.02707612e-03,0.500000,0.500000,0.001000,1.000000
26,1.02734202e-03,0.500000,0.500000,0.001000,1.000000
27,1.02738440e-03,0.500000,0.500000,0.001000,1.000000
28,1.02711126e-03,0.500000,0.500000,0.001000,1.000000
29,1.02663034e-03,0.500000,0.500000,0.001000,1.000000
30,1.02594484e-03,0.500000,0.500000,0.001000,1.000000
31,1.02498421e-03,0.500000,0.500000,0.001000,1.000000
